
Begin to print decoded frame status ...
Frame ID: 215; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 216; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 217; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 218; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 219; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 220; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 221; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 222; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 223; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 224; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 225; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 226; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 227; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 228; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 229; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 230; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 231; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 232; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 233; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 234; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 235; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 236; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 237; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 238; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 239; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 240; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 241; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 242; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 243; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 244; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 245; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 246; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 247; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 248; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 249; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 250; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 251; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 252; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 253; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 254; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 255; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 256; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 257; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 258; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 259; currentDecodedFrame: 1; DecodedFrame: 1
